id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Bailen-Miraflores,district_Campanillas,district_Carretera de Cadiz,district_Centro,district_Churriana,district_Ciudad Jardin,district_Cruz de Humilladero,district_Este,district_Palma-Palmilla,district_Puerto de la Torre,district_Teatinos-Universidad,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Entire villa,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,n_amenities,host_user_tenure_years
891997735125464723,298633288,1469535435782680361,False,True,True,Centro,36.720757,-4.4235745,6,1.0,3.0,4.0,216.0,2.0,999.0,317,27,1,6,4.3,65,0.71,True,5.37989735354046,3.332204510175204,0.6931471805599453,0.5364933705145685,1.3862943611198906,1.6094379124341003,0.6931471805599453,4.189654742026425,36.0,108.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,209.90463486546682,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,True,1.0,True,1138.0,79.0,0.20299828361904296,388,True,False,False,44,6.75
892106004496253737,382146507,1463572618367530710,True,True,True,Cruz de Humilladero,36.71296,-4.43098,2,1.0,1.0,1.0,177.0,2.0,1125.0,314,19,6,36,4.74,58,0.53,True,5.181783550292085,2.995732273553991,1.9459101490553132,0.4252677354043441,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.07753744390572,88.5,88.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,170.2562436674665,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5.5,False,False,False,True,1.0,True,1074.0,12.0,1.2606152062349476,26,True,False,False,29,5.5
892506201848565033,89705945,1467086599648633336,True,True,True,Carretera de Cadiz,36.70867,-4.42861,5,1.0,2.0,3.0,325.0,1.0,1125.0,230,161,57,255,4.7,65,4.32,True,5.786897381366708,5.087596335232384,4.060443010546419,1.6714733033535532,1.0986122886681098,1.3862943611198906,0.6931471805599453,4.189654742026425,65.0,325.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,194.20015615296037,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,9.833333333333334,False,False,False,True,1.0,True,1118.0,4.0,1.5444552851679927,9,True,False,False,25,9.833333333333334
892658275024712698,244492011,1469297368053811421,False,True,True,Centro,36.7268563,-4.4208302,6,1.5,3.0,5.0,162.0,3.0,30.0,93,14,2,12,4.07,49,0.38,True,5.093750200806762,2.70805020110221,1.0986122886681098,0.32208349916911333,1.3862943611198906,1.791759469228055,0.9162907318741551,3.912023005428146,27.0,54.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,209.90463486546682,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7.333333333333333,False,False,True,False,0.9795918367346939,True,1119.0,61.0,0.6199159788445952,252,True,False,True,29,7.333333333333333
892679575117408988,278821830,1469468235630792495,True,True,True,Centro,36.7318599,-4.4177065,5,1.0,3.0,5.0,287.0,1.0,60.0,319,57,14,84,4.82,126,1.6,True,5.662960480135946,4.060443010546419,2.70805020110221,0.9555114450274363,1.3862943611198906,1.791759469228055,0.6931471805599453,4.844187086458591,57.4,287.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,209.90463486546682,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.916666666666667,False,False,False,True,1.0,True,1068.0,15.0,1.2194746413426099,41,True,False,True,42,6.916666666666667
892680697361668948,278821830,1469468235630792495,True,True,True,Centro,36.71946122153186,-4.422642016086866,3,1.0,1.0,2.0,230.0,1.0,60.0,351,140,52,255,4.85,126,3.73,True,5.442417710521793,4.948759890378168,3.970291913552122,1.5539252025038417,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.844187086458591,76.66666666666667,230.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,209.90463486546682,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.916666666666667,False,False,False,True,1.0,True,1125.0,5.0,0.23250735080584256,353,True,False,False,28,6.916666666666667
892831754079037399,70748676,1462793304338885230,False,True,True,Carretera de Cadiz,36.69605,-4.44749,4,1.0,1.0,2.0,239.67,3.0,90.0,268,0,0,0,,1,0.0,True,5.483426700544313,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,59.9175,79.89,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,194.20015615296037,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3.0833333333333335,True,False,False,False,1.0,False,,,3.6458374656685133,20,True,False,False,41,10.083333333333334
892901800969157225,515095646,1463863051308633006,False,True,True,Centro,36.72697,-4.4304,5,1.0,3.0,4.0,133.5,2.0,180.0,183,19,7,42,4.89,3,0.53,True,4.901564199041894,2.995732273553991,2.0794415416798357,0.4252677354043441,1.3862943611198906,1.6094379124341003,0.6931471805599453,1.3862943611198906,26.7,66.75,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,209.90463486546682,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3.0833333333333335,False,True,False,False,1.0,True,1066.0,87.0,1.0202495161108576,27,True,False,False,38,3.0833333333333335
893188329695730295,241263899,1469282169292594595,False,True,True,Centro,36.7273323,-4.4134265,4,1.0,2.0,2.0,105.5,1.0,1125.0,262,15,2,12,4.47,3,0.4,True,4.66814498514948,2.772588722239781,1.0986122886681098,0.33647223662121295,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.3862943611198906,26.375,105.5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,209.90463486546682,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7.333333333333333,False,True,False,False,1.0,True,1128.0,37.0,0.9772047517511271,96,True,False,False,41,7.333333333333333
893315848597909448,515176435,1470317353309687069,False,True,True,Centro,36.72444,-4.41849,4,1.0,1.0,2.0,191.5,2.0,365.0,271,18,11,66,4.83,1,0.48,True,5.260096153727839,2.9444389791664403,2.4849066497880004,0.3920420877760237,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,47.875,95.75,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,209.90463486546682,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3.0833333333333335,True,False,False,False,1.0,True,1127.0,15.0,0.4349417552206005,508,True,False,True,32,3.0833333333333335
