id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Casco Antiguo,district_Cerro - Amate,district_Este - Alcosa - Torreblanca,district_Los Remedios,district_Macarena,district_Macarena - Norte,district_Nervión,district_Palmera - Bellavista,district_San Pablo - Santa Justa,district_Sur,district_Triana,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire vacation home,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,n_amenities,host_user_tenure_years
30077891,226017022,1463221913876564796,False,True,True,37.39631,-5.98386,2,1.0,1.0,2.0,70.0,1.0,1125.0,28,462,78,255,4.74,1,5.03,True,4.2626798770413155,6.137727054086234,4.3694478524670215,1.7967470107390942,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,35.0,70.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,108.2422667405402,False,False,True,False,False,False,False,False,False,False,False,False,False,7.583333333333333,True,False,False,False,1.0,True,2753.0,18.0,1.8793447361163167,55,True,False,False,36,7.583333333333333
40488400,313398699,1469589486683996531,False,True,True,37.38402,-5.98237,3,1.0,1.0,1.0,89.0,1.0,999.0,142,4,0,0,5.0,7,0.05,True,4.499809670330265,1.6094379124341005,0.0,0.048790164169432,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.0794415416798357,29.666666666666668,89.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,170.77764865370233,False,False,False,True,False,False,False,False,False,False,False,False,False,6.5,False,True,False,False,1.0,True,2320.0,1150.0,1.24086577740885,28,True,False,False,28,6.583333333333333
1599130013939041294,740342692,1599130014557898825,False,True,True,37.4035874,-5.9825176,3,1.0,1.0,2.0,97.0,1.0,365.0,78,8,8,48,4.75,1,1.79,True,4.584967478670572,2.1972245773362196,2.1972245773362196,1.0260415958332745,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,32.333333333333336,97.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,106.54105260365078,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4166666666666667,True,False,False,False,1.0,True,133.0,14.0,2.6322268644970612,14,True,False,False,35,0.4166666666666667
1168111455353942404,31420918,1462655035663195442,False,True,True,37.3961342,-5.9879078,3,1.0,1.0,2.0,92.0,2.0,999.0,354,27,6,36,4.59,14,1.07,True,4.532599493153256,3.332204510175204,1.9459101490553132,0.7275486072772778,0.6931471805599453,1.0986122886681098,0.6931471805599453,2.70805020110221,30.666666666666668,46.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,149.90203459799787,False,False,True,False,False,False,False,False,False,False,False,False,False,11.0,False,False,True,False,1.0,True,758.0,25.0,1.6776604537529298,117,True,False,True,34,11.166666666666666
1451490596454640611,560737802,1470505033812932425,True,True,True,37.3881579,-5.9936761,4,2.0,2.0,2.0,216.0,2.0,1125.0,264,38,38,228,4.92,7,3.99,True,5.37989735354046,3.6635616461296463,3.6635616461296463,1.6074359097634274,1.0986122886681098,1.0986122886681098,1.0986122886681098,2.0794415416798357,54.0,108.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,169.8590824889319,False,False,False,True,False,False,False,False,False,False,False,False,False,2.3333333333333335,False,True,False,False,1.0,True,284.0,12.0,0.6600609903001584,207,True,False,True,41,2.3333333333333335
832359965232747613,493480265,1470221835278910063,False,True,True,37.37581,-6.00395,6,2.0,3.0,5.0,85.14,7.0,365.0,195,58,17,238,4.78,1,1.54,True,4.455973879625964,4.07753744390572,2.8903717578961645,0.9321640810304452,1.3862943611198906,1.791759469228055,1.0986122886681098,0.6931471805599453,14.19,12.162857142857144,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,154.1568269520509,False,False,False,True,False,False,False,False,False,False,False,False,False,3.25,True,False,False,False,1.0,True,1130.0,20.0,1.0133868347499673,15,True,False,True,39,3.5
1112844551927505962,299223363,1529328719970709940,False,True,True,37.3853904,-5.9883361,6,3.0,3.0,5.0,375.0,1.0,1125.0,93,79,26,156,4.96,1,2.91,True,5.929589143389895,4.382026634673881,3.295836866004329,1.3635373739972745,1.3862943611198906,1.791759469228055,1.3862943611198906,0.6931471805599453,62.5,375.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,169.8590824889319,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0833333333333333,True,False,False,False,1.0,True,814.0,43.0,0.7690138831217648,151,True,False,True,55,6.666666666666667
913585422284361796,15819228,1462971429148013402,True,True,True,37.38072,-5.99927,2,1.0,1.0,1.0,164.22,1.0,1125.0,317,24,4,24,5.0,60,0.69,True,5.10727791913436,3.218875824868201,1.6094379124341005,0.5247285289349821,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.110873864173311,82.11,164.22,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,194.63991996478111,False,False,False,True,False,False,False,False,False,False,False,False,False,12.0,False,False,False,True,1.0,True,1047.0,176.0,0.3355056415879549,102,True,True,True,42,12.083333333333334
1262064381219481784,655880845,1470648204362853374,False,True,True,37.3914499,-5.9906545,2,1.0,1.0,1.0,277.0,1.0,731.0,313,0,0,0,,7,0.0,True,5.627621113690637,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.0794415416798357,138.5,277.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,168.2172791613086,False,False,False,False,False,False,False,False,False,False,False,False,True,1.6666666666666663,False,True,False,False,0.0,False,,,1.103251682339034,202,True,True,False,31,1.6666666666666663
21052997,118796113,1462914712565309550,False,True,True,37.39408,-5.9997,2,1.0,1.0,1.0,127.0,1.0,999.0,99,376,55,255,4.67,34,3.53,True,4.852030263919617,5.932245187448011,4.02535169073515,1.5107219394949427,0.6931471805599453,0.6931471805599453,0.6931471805599453,3.5553480614894135,63.5,127.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,138.9705056719023,False,False,False,True,False,False,False,False,False,False,False,False,False,9.25,False,False,True,False,1.0,True,3195.0,17.0,1.3113843502561624,135,True,False,False,22,9.25
14657255,91039666,1462850300435111586,True,True,True,37.38929,-5.99205,3,1.0,1.0,2.0,101.5,2.0,999.0,225,279,46,255,4.8,43,2.33,True,4.629862798578463,5.634789603169249,3.8501476017100584,1.2029723039923526,0.6931471805599453,1.0986122886681098,0.6931471805599453,3.784189633918261,33.833333333333336,50.75,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,168.2172791613086,False,False,False,True,False,False,False,False,False,False,False,False,False,9.833333333333334,False,False,True,False,0.9534883720930232,True,3588.0,10.0,0.8332909634536684,245,True,False,False,36,9.833333333333334
1526669645756847929,444912851,1470005422972159774,False,True,True,37.39916,-5.98972,6,1.0,3.0,4.0,101.0,1.0,365.0,242,42,42,252,4.76,8,4.85,True,4.624972813284271,3.7612001156935624,3.7612001156935624,1.766441661243765,1.3862943611198906,1.6094379124341005,0.6931471805599453,2.1972245773362196,16.833333333333332,101.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,149.90203459799787,False,False,False,True,False,False,False,False,False,False,False,False,False,4.333333333333333,False,True,False,False,1.0,True,259.0,8.0,1.9309676111505645,86,False,False,False,12,4.333333333333333
714198880574234766,287833621,1463387076674472821,False,True,True,37.39702,-5.98639,5,2.0,3.0,4.0,160.0,2.0,28.0,56,20,0,0,4.85,1,0.44,True,5.081404364984463,3.044522437723423,0.0,0.3646431135879092,1.3862943611198906,1.6094379124341005,1.0986122886681098,0.6931471805599453,32.0,80.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,108.2422667405402,False,False,False,True,False,False,False,False,False,False,False,False,False,5.166666666666667,True,False,False,False,1.0,True,1374.0,645.0,1.8268884977287088,69,True,True,True,61,6.833333333333333
23628190,62274165,1466767971957013055,True,True,True,37.409,-5.97996,2,1.0,1.0,1.0,231.5,2.0,5.0,80,52,0,0,4.96,3,0.52,True,5.448890225027411,3.970291913552122,0.0,0.418710334858185,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,115.75,115.75,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,136.0530591459424,False,False,False,False,False,False,False,False,False,False,True,False,False,8.25,False,True,False,False,0.3333333333333333,True,3011.0,637.0,3.2712450505878867,6,True,False,False,21,10.25
30342048,983968,1462535042402576094,False,True,True,37.392147,-5.986657,4,1.0,1.0,2.0,80.0,1.0,99.0,182,11,2,12,4.55,10,0.16,True,4.394449154672439,2.4849066497880004,1.0986122886681098,0.1484200051182732,0.6931471805599453,1.0986122886681098,0.6931471805599453,2.3978952727983707,20.0,80.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,122.82801124555374,True,False,False,False,False,False,False,False,False,False,False,False,False,14.833333333333334,False,True,False,False,1.0,True,2084.0,31.0,1.361167879300877,140,True,False,False,50,14.833333333333334
1515892024639444346,170512874,1468647083765631147,False,True,True,37.38948,-6.00891,3,1.0,1.0,1.0,80.5,2.0,60.0,303,2,2,12,4.0,130,0.64,True,4.400603020246817,1.0986122886681098,1.0986122886681098,0.494696241836107,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.875197323201151,26.833333333333332,40.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,158.5421792682428,False,False,False,True,False,False,False,False,False,False,False,False,False,8.25,False,False,False,True,0.9923076923076924,True,93.0,86.0,1.3514802676820798,48,True,False,False,20,8.416666666666666
3311224,12395642,1462582316133617517,False,True,True,37.3867,-6.00502,3,0.0,1.0,2.0,86.0,2.0,1125.0,14,628,44,255,4.55,4,4.37,True,4.465908118654584,6.444131256700441,3.80666248977032,1.6808279085207734,0.6931471805599453,1.0986122886681098,0.0,1.6094379124341005,28.666666666666668,43.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,194.63991996478111,False,False,False,True,False,False,False,False,False,False,False,False,False,12.166666666666666,False,True,False,False,1.0,True,4308.0,16.0,0.895219850414184,128,True,False,False,25,12.333333333333334
39833232,111577075,1467348363133534174,False,True,True,37.38819,-5.98728,1,1.0,1.0,1.0,82.93,14.0,14.0,83,0,0,0,,1,0.0,False,4.429983118094737,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,82.93,5.923571428571429,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,169.5776077641185,False,False,False,False,False,False,False,False,False,False,True,False,False,9.416666666666666,True,False,False,False,0.0,False,,,1.0106769871213563,146,True,False,False,27,9.416666666666666
1449858244447726378,361142402,1469724506770111832,False,True,True,37.39032,-5.98903,3,1.0,2.0,2.0,108.0,1.0,1125.0,113,5,5,30,4.0,20,0.48,True,4.6913478822291435,1.791759469228055,1.791759469228055,0.3920420877760237,1.0986122886681098,1.0986122886681098,0.6931471805599453,3.044522437723423,36.0,108.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,168.2172791613086,False,False,False,True,False,False,False,False,False,False,False,False,False,5.833333333333333,False,False,True,False,1.0,True,309.0,91.0,1.072126879267926,153,True,True,True,23,5.833333333333333
1101701291268622642,113546787,1468173002000321235,False,True,True,37.3948847,-6.0003593,4,1.0,1.0,2.0,116.5,2.0,999.0,347,11,3,18,4.82,37,0.41,True,4.7664383335842135,2.4849066497880004,1.3862943611198906,0.3435897043900769,0.6931471805599453,1.0986122886681098,0.6931471805599453,3.6375861597263857,29.125,58.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,138.9705056719023,False,False,False,True,False,False,False,False,False,False,False,False,False,9.25,False,False,True,False,1.0,True,807.0,298.0,1.4122898323966024,125,True,False,True,42,9.416666666666666
1404200354356793463,243308448,1468162106292201981,False,True,True,37.38572,-5.96921,3,1.0,1.0,2.0,71.0,1.0,99.0,145,62,48,255,4.89,39,4.34,True,4.276666119016055,4.143134726391533,3.8918202981106265,1.6752256529721037,0.6931471805599453,1.0986122886681098,0.6931471805599453,3.688879454113936,23.666666666666668,71.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,154.4998464768761,False,False,False,True,False,False,False,False,False,False,False,False,False,7.25,False,False,True,False,1.0,True,428.0,16.0,2.4185097375708344,5,True,False,False,24,7.333333333333333
530580,2605665,1462602432735127732,False,True,True,37.38894,-5.98804,4,1.0,1.0,2.0,127.39,3.0,30.0,244,321,9,54,4.64,1,1.88,True,4.855072506602992,5.7745515455444085,2.302585092994046,1.0577902941478543,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,31.8475,42.46333333333333,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,169.5776077641185,False,False,False,True,False,False,False,False,False,False,False,False,False,14.0,True,False,False,False,1.0,True,5111.0,36.0,1.0146804845746695,136,True,True,False,55,14.0
1557289940232889251,374138888,1463555269157057733,False,True,True,37.3895975,-5.9957389,6,2.0,2.0,3.0,176.0,1.0,999.0,197,0,0,0,,5,0.0,True,5.176149732573829,0.0,0.0,0.0,1.0986122886681098,1.3862943611198906,1.0986122886681098,1.791759469228055,29.333333333333332,176.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,168.2172791613086,False,False,False,True,False,False,False,False,False,False,False,False,False,5.583333333333333,False,True,False,False,1.0,False,,,0.779664139823539,111,True,True,True,32,5.583333333333333
28128821,209748933,1463161169987395968,False,True,True,37.38684,-5.98965,8,3.0,3.0,8.0,290.0,1.0,1125.0,138,88,15,90,4.69,52,1.0,True,5.673323267171493,4.48863636973214,2.772588722239781,0.6931471805599453,1.3862943611198906,2.1972245773362196,1.3862943611198906,3.970291913552122,36.25,290.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,169.8590824889319,False,False,False,True,False,False,False,False,False,False,False,False,False,7.75,False,False,False,True,1.0,True,2626.0,23.0,0.7533204799871204,182,True,False,False,22,7.833333333333333
53527958,433444976,1463690630511281590,True,True,True,37.39048385620117,-5.997811794281006,10,3.0,4.0,9.0,318.51,1.0,1125.0,288,217,37,222,4.88,2,4.16,True,5.766788572232327,5.384495062789089,3.6375861597263857,1.6409365794934714,1.6094379124341005,2.302585092994046,1.3862943611198906,1.0986122886681098,31.851,318.51,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,168.2172791613086,False,False,False,False,True,False,False,False,False,False,False,False,False,4.25,False,True,False,False,1.0,True,1563.0,23.0,0.8867618473202674,171,True,False,True,46,4.583333333333333
25470672,860055,1462514727131053246,False,True,True,37.38766,-5.98901,5,1.0,2.0,4.0,164.0,3.0,1125.0,233,78,4,24,4.55,25,0.8,True,5.10594547390058,4.3694478524670215,1.6094379124341005,0.5877866649021191,1.0986122886681098,1.6094379124341005,0.6931471805599453,3.258096538021482,32.8,54.666666666666664,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,169.5776077641185,False,False,False,True,False,False,False,False,False,False,False,False,False,14.916666666666666,False,False,True,False,1.0,True,2913.0,132.0,0.8552318569167549,135,True,False,False,30,14.916666666666666
48458115,55117083,1465903588145911507,False,True,False,37.39874,-5.99709,10,3.0,5.0,10.0,355.0,2.0,999.0,139,37,8,48,4.59,9,0.64,True,5.87493073085203,3.6375861597263857,2.1972245773362196,0.494696241836107,1.791759469228055,2.3978952727983707,1.3862943611198906,2.302585092994046,35.5,177.5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,154.94353251674707,False,True,False,False,False,False,False,False,False,False,False,False,False,10.416666666666666,False,True,False,False,0.6666666666666666,True,1731.0,30.0,1.7960426919254255,73,True,False,False,26,10.416666666666666
