id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Algiros,district_Benicalap,district_Benimaclet,district_Camins al Grau,district_Campanar,district_Ciutat Vella,district_El Pla del Real,district_Extramurs,district_Jesus,district_L'Eixample,district_L'Olivereta,district_La Saidia,district_Patraix,district_Poblats Maritims,district_Poblats de l'Oest,district_Poblats del Nord,district_Poblats del Sud,district_Quatre Carreres,district_Rascanya,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in casa particular,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,n_amenities,host_user_tenure_years
902650978187952741,478369629,1470155245688732160,True,True,True,Cabanyal-Canyamelar,39.4727354,-0.3326601,7,2.0,4.0,2.0,151.42,10.0,1125.0,23,5,0,0,4.4,4,0.13,True,5.026639868237972,1.791759469228055,0.0,0.12221763272424921,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.6094379124341003,21.631428571428568,15.142,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,195.17308366462774,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.75,False,True,False,False,1.0,True,1122.0,1036.0,3.7591251773644085,50,True,False,False,20,3.75
902829279987199758,486015813,1463815502223482624,True,True,True,Cabanyal-Canyamelar,39.463253321439474,-0.3338298068308117,6,2.0,3.0,2.0,215.5,2.0,10.0,123,25,11,66,4.76,2,0.67,True,5.377590547442544,3.258096538021482,2.4849066497880004,0.5128236264286637,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.0986122886681098,35.916666666666664,107.75,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,195.17308366462774,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.5833333333333335,False,True,False,False,1.0,True,1117.0,11.0,3.71988572410505,50,True,False,True,37,3.5833333333333335
903336078815915361,118650821,1468211465043451392,False,True,True,El Perellonet,39.3012,-0.29303,8,2.0,3.0,7.0,221.24,28.0,365.0,358,0,0,0,,1,0.0,False,5.403757879006034,0.0,0.0,0.0,1.3862943611198906,2.0794415416798357,1.0986122886681098,0.6931471805599453,27.655,7.901428571428572,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,159.38673203960022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,True,False,False,False,1.0,False,,,20.07730328446163,0,False,False,False,9,9.25
903412375877698465,464109947,1470091352795619072,False,True,True,L'Illa Perduda,39.471101896386784,-0.3408115357160568,1,2.0,1.0,1.0,60.33,3.0,1125.0,296,62,30,180,4.85,1,1.67,False,4.116269119637892,4.143134726391533,3.4339872044851463,0.9820784724121582,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,60.33,20.11,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,152.23772072795575,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3.0,True,False,False,False,0.0,True,1117.0,17.0,3.0491585872583458,18,True,False,True,42,4.0
903698015845188584,251346384,1463301702000150016,False,True,True,Sant Marcel.li,39.44337808351161,-0.3903442248702049,1,1.0,1.0,1.0,33.12,11.0,1125.0,52,4,2,44,4.0,3,0.12,True,3.5298837226234783,1.6094379124341003,1.0986122886681098,0.11332868530700317,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,33.12,3.0109090909090908,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,110.35201068055817,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.6666666666666665,False,True,False,False,0.0,True,1025.0,29.0,3.186071876246728,9,True,False,False,23,7.25
904994795449530753,791187,1462529534006996224,True,True,True,Morvedre,39.4830725,-0.3740079,5,1.0,2.0,2.0,148.42,11.0,365.0,57,37,8,176,4.92,12,1.01,True,5.0067611325476555,3.6375861597263857,2.1972245773362196,0.6981347220709844,1.0986122886681098,1.0986122886681098,0.6931471805599453,2.5649493574615367,29.683999999999997,13.492727272727272,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,161.30969935076695,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14.916666666666666,False,False,True,False,1.0,True,1098.0,25.0,1.4778678486881176,22,True,False,False,43,14.916666666666666
905056730002736855,172516730,1468674584141985536,False,True,True,La Creu del Grau,39.46250963821171,-0.3418612163147115,3,1.0,2.0,2.0,86.0,1.0,1125.0,305,121,49,255,4.72,9,3.33,True,4.465908118654584,4.804021044733257,3.912023005428146,1.4655675420143985,1.0986122886681098,1.0986122886681098,0.6931471805599453,2.302585092994046,28.666666666666668,86.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,155.40232850293668,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,8.333333333333334,False,True,False,False,1.0,True,1094.0,23.0,3.0683988838915837,21,True,False,False,39,8.333333333333334
905502546102196817,517981760,1470330492304996864,False,True,True,Les Tendetes,39.4825241,-0.3874456,1,2.0,1.0,1.0,34.36,11.0,365.0,26,18,6,132,4.72,5,0.52,True,3.5655812377694427,2.9444389791664403,1.9459101490553132,0.41871033485818504,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.791759469228055,34.36,3.1236363636363635,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,146.87723857425405,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.0833333333333335,False,True,False,False,0.0,True,1036.0,12.0,1.6987087375552905,11,True,False,False,6,3.0833333333333335
905516409263599648,25762331,1465350054512888832,False,True,True,Sant Francesc,39.47104716786109,-0.3708670700004643,2,2.0,3.0,3.0,87.5,2.0,365.0,361,14,0,0,4.07,1,0.38,False,4.483002552013883,2.70805020110221,0.0,0.32208349916911333,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,43.75,43.75,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,197.6072693144142,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.8333333333333335,True,False,False,False,0.0,True,1116.0,375.0,0.48347826352687634,27,False,False,False,8,11.416666666666666
905876968297342477,518069614,1470330953487450624,False,True,True,La Raiosa,39.4577161,-0.3858206,5,1.0,1.0,4.0,264.0,1.0,365.0,298,20,0,0,4.7,5,0.54,False,5.579729825986222,3.044522437723423,0.0,0.43178241642553783,0.6931471805599453,1.6094379124341003,0.6931471805599453,1.791759469228055,52.8,264.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,143.70526769015598,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,False,True,False,False,1.0,True,1122.0,641.0,1.5822227919121923,25,False,False,False,37,3.0
