id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Arganzuela,district_Barajas,district_Carabanchel,district_Centro,district_Chamartín,district_Chamberí,district_Ciudad Lineal,district_Fuencarral - El Pardo,district_Hortaleza,district_Latina,district_Moncloa - Aravaca,district_Moratalaz,district_Puente de Vallecas,district_Retiro,district_Salamanca,district_San Blas - Canillejas,district_Tetuán,district_Usera,district_Vicálvaro,district_Villa de Vallecas,district_Villaverde,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Other,property_type_Private room,property_type_Private room in bed and breakfast,property_type_Private room in casa particular,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in bed and breakfast,property_type_Shared room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,n_amenities,host_user_tenure_years
13758500,80656462,1466982469695901184,False,True,True,40.40536,-3.68043,4,1.0,1.0,2.0,190.2,3.0,300.0,346,38,5,30,4.92,1,0.32,False,5.2533200006173,3.6635616461296463,1.791759469228055,0.2776317365982795,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,47.55,63.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,133.58205090485302,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.833333333333334,True,False,False,False,1.0,True,3582.0,12.0,2.3522599865672493,34,True,False,False,13,9.916666666666666
43633177,200171094,1469044357017948160,False,True,True,40.39919,-3.69313,2,1.0,1.0,1.0,85.36,31.0,365.0,364,2,0,0,5.0,7,0.03,True,4.458524605646606,1.0986122886681098,0.0,0.0295588022415444,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.0794415416798357,42.68,2.753548387096774,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125.72484624149068,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7.916666666666667,False,True,False,False,0.1428571428571428,True,1776.0,1126.0,2.1564994388615335,12,True,False,False,13,7.916666666666667
1055205284475370672,511763178,1470301353666479616,True,True,True,40.42249,-3.71114,2,1.0,1.0,1.0,216.0,1.0,365.0,245,95,38,228,4.87,35,3.17,False,5.37989735354046,4.564348191467836,3.6635616461296463,1.42791603581071,0.6931471805599453,0.6931471805599453,0.6931471805599453,3.58351893845611,108.0,216.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,183.1172380313284,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0833333333333335,False,False,True,False,1.0,True,909.0,19.0,0.886792692592891,171,True,False,True,33,3.0833333333333335
1355022694382170089,673509885,1470687000546299392,True,True,True,40.39176,-3.72349,2,1.0,1.0,1.0,87.0,1.0,999.0,319,16,16,96,4.94,7,2.06,True,4.477336814478207,2.833213344056216,2.833213344056216,1.118414915964289,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.0794415416798357,43.5,87.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,122.73100149425267,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,False,True,False,False,0.8571428571428571,True,241.0,26.0,3.245318193067833,21,True,False,False,43,1.4166666666666667
1657834810451409440,727503087,1547213188025503232,True,True,True,40.410267431227105,-3.700619971163946,2,1.0,1.0,1.0,232.0,2.0,300.0,349,6,6,36,4.5,4,2.81,True,5.4510384535657,1.9459101490553132,1.9459101490553132,1.3376291891386096,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.6094379124341005,116.0,116.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,169.21558088303152,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5833333333333334,False,True,False,False,1.0,True,73.0,16.0,0.7746767420497188,248,True,False,True,26,0.5833333333333334
1658631326777238061,565852218,1470520557953074432,False,True,True,40.45728,-3.70122,4,2.0,1.0,2.0,129.5,2.0,365.0,356,10,10,60,4.9,2,4.29,True,4.871373226762748,2.3978952727983707,2.3978952727983707,1.665818245870208,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.0986122886681098,32.375,64.75,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,122.93993528842715,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.25,False,True,False,False,1.0,True,79.0,21.0,4.506463654559433,16,True,False,False,29,2.25
1516651828303409280,478946131,1512315727255828224,False,True,True,40.4057082,-3.676724,2,1.0,1.0,2.0,140.5,2.0,365.0,298,21,21,126,4.62,29,2.37,True,4.952299717083292,3.091042453358316,3.091042453358316,1.2149127443642704,0.6931471805599453,1.0986122886681098,0.6931471805599453,3.4011973816621555,70.25,70.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,133.58205090485302,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.75,False,False,True,False,1.0,True,275.0,33.0,2.603115715795108,32,True,False,True,28,3.75
1100661070057704307,30724896,1462652571481185024,False,True,True,40.45212,-3.69542,6,2.0,3.0,3.0,1442.45,5.0,365.0,363,0,0,0,,1,0.0,False,7.27479136047052,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,240.40833333333333,288.49,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,122.93993528842715,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.166666666666666,True,False,False,False,1.0,False,,,3.99093242850208,12,True,False,True,61,11.166666666666666
1391783831165432739,538057542,1470413182062545152,False,True,True,40.402859659385115,-3.678019973656595,1,1.0,1.0,1.0,105.0,1.0,365.0,360,25,22,132,4.72,7,1.75,False,4.663439094112067,3.258096538021482,3.1354942159291497,1.01160091167848,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.0794415416798357,105.0,105.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,133.58205090485302,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.6666666666666665,False,True,False,False,0.2857142857142857,True,439.0,14.0,2.677131203419173,17,False,False,False,41,2.75
18305543,21479826,1463156387786228480,True,True,True,40.40835189819336,-3.702826976776123,3,1.0,1.0,1.0,112.5,2.0,1125.0,58,389,26,156,4.67,2,3.48,True,4.7318028369214575,5.966146739123692,3.295836866004329,1.4996230464268938,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,37.5,56.25,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,169.21558088303152,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.75,False,True,False,False,1.0,True,3358.0,19.0,0.9429912733458397,148,False,False,False,27,11.75
