id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,district_Alaró,district_Alcúdia,district_Algaida,district_Andratx,district_Ariany,district_Artà,district_Banyalbufar,district_Binissalem,district_Bunyola,district_Búger,district_Calvià,district_Campanet,district_Campos,district_Capdepera,district_Consell,district_Costitx,district_Deyá,district_Escorca,district_Esporles,district_Estellencs,district_Felanitx,district_Fornalutx,district_Inca,district_Lloret de Vistalegre,district_Lloseta,district_Llubí,district_Llucmajor,district_Manacor,district_Mancor de la Vall,district_Maria de la Salut,district_Marratxí,district_Montuïri,district_Muro,district_Palma de Mallorca,district_Petra,district_Pollença,district_Porreres,district_Puigpunyent,district_Sa Pobla,district_Sant Joan,district_Sant Llorenç des Cardassar,district_Santa Eugènia,district_Santa Margalida,district_Santa María del Camí,district_Santanyí,district_Selva,district_Sencelles,district_Ses Salines,district_Sineu,district_Son Servera,district_Sóller,district_Valldemossa,district_Vilafranc de Bonany,neighbourhood_price_encoded,property_type_Camper/RV,property_type_Entire chalet,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Entire villa,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in home,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_sea_view,n_amenities,host_user_tenure_years
15053803,33953755,1462663694742324111,True,True,True,39.60393015777445,3.0576034728789203,4,2.0,2.0,2.0,873.29,7.0,730.0,262,9,0,0,4.89,1,0.08,True,6.773412128399828,2.302585092994046,0.0,0.0769610411361283,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453,218.3225,124.75571428571428,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,657.2431141922908,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9.75,True,False,False,False,1.0,True,3260.0,679.0,35.3875229691073,0,True,True,False,65,11.083333333333334
11312547,59152823,1462741938569480405,True,True,True,39.41213,3.21267,4,1.0,2.0,4.0,285.4,4.0,1125.0,70,57,14,112,4.75,2,0.47,True,5.657389435086491,4.060443010546419,2.70805020110221,0.3852624007906449,1.0986122886681098,1.6094379124341005,0.6931471805599453,1.0986122886681098,71.35,71.35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,742.9394428827223,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.333333333333334,False,True,False,False,1.0,True,3624.0,34.0,51.484902795428475,0,True,True,False,41,10.333333333333334
18577060,80839530,1466984204613130888,False,True,True,39.63228,3.3754,6,3.0,3.0,5.0,2604.0,1.0,28.0,97,13,1,6,4.62,791,0.13,True,7.865187954187467,2.6390573296152584,0.6931471805599453,0.1222176327242492,1.3862943611198906,1.791759469228055,1.3862943611198906,6.674561391814426,434.0,2604.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,841.9335750580982,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.333333333333334,False,False,False,True,0.9696586599241468,True,2913.0,338.0,62.79009589346677,0,False,True,False,41,9.916666666666666
33816884,79226125,1462824021705798025,True,True,True,39.35634,2.96989,4,2.0,2.0,3.0,414.0,1.0,99.0,91,11,7,42,5.0,32,0.18,True,6.028278520230698,2.4849066497880004,2.0794415416798357,0.1655144384775733,1.0986122886681098,1.3862943611198906,1.0986122886681098,3.49650756146648,103.5,414.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,695.0928235051352,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.916666666666666,False,False,True,False,1.0,True,1801.0,40.0,36.2866736344266,4,False,False,True,65,10.0
18405666,80839530,1466984204613130888,False,True,True,39.7491,2.87574,5,2.0,3.0,4.0,1483.0,1.0,28.0,118,45,3,18,4.6,791,0.41,True,7.302496423727326,3.828641396489095,1.3862943611198906,0.3435897043900769,1.3862943611198906,1.6094379124341005,1.0986122886681098,6.674561391814426,296.6,1483.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,821.3511381330396,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.333333333333334,False,False,False,True,0.9696586599241468,True,3301.0,26.0,28.120148201387437,0,True,True,False,40,9.916666666666666
1709229234674171060,107259109,1467299996805535525,False,True,True,39.52605,3.323399,6,2.0,3.0,4.0,333.0,1.0,28.0,166,0,0,0,,69,0.0,True,5.811140992976701,0.0,0.0,0.0,1.3862943611198906,1.6094379124341005,1.0986122886681098,4.248495242049359,55.5,333.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,586.6803801898172,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9.5,False,False,False,True,1.0,False,,,58.14330776313851,3,False,True,True,34,9.5
20660617,81580920,1466991464733873565,False,True,True,39.84809,3.11762,8,5.0,4.0,5.0,718.0,5.0,999.0,169,0,0,0,,80,0.0,True,6.577861357721047,0.0,0.0,0.0,1.6094379124341005,1.791759469228055,1.791759469228055,4.394449154672439,89.75,143.6,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,598.0469480132393,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.916666666666666,False,False,False,True,1.0,False,,,50.91982326276619,3,True,True,False,34,9.916666666666666
1619407959347224006,716073403,1498032224325813232,True,True,True,39.50186528999609,2.753374783992011,2,1.0,1.0,2.0,101.8,30.0,365.0,360,0,0,0,,3,0.0,True,4.632785353021065,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.3862943611198906,50.9,3.393333333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,453.96107241462784,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.75,False,True,False,False,1.0,False,,,11.641968550630018,3,True,False,False,7,0.75
2895012,14795248,1462947080532623584,True,True,True,39.79286,2.68909,5,3.0,3.0,3.0,742.0,3.0,30.0,248,21,13,78,5.0,4,0.19,True,6.610696044717759,3.091042453358316,2.6390573296152584,0.173953307123438,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.6094379124341005,148.4,247.33333333333337,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,508.1317866792951,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.083333333333334,False,True,False,False,1.0,True,3299.0,21.0,25.33360882189162,3,False,True,True,53,12.083333333333334
1654962432577841233,754882376,1654962433359156644,False,False,True,39.80833,2.89448,7,2.0,4.0,6.0,376.67,3.0,365.0,319,0,0,0,,1,0.0,True,5.934020798446277,0.0,0.0,0.0,1.6094379124341005,1.9459101490553132,1.0986122886681098,0.6931471805599453,53.81,125.55666666666669,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,571.8349815982323,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1666666666666666,True,False,False,False,1.0,False,,,34.136530673005076,0,True,False,False,27,0.1666666666666666
