id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Ciutat Vella,district_Eixample,district_Gràcia,district_Horta-Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in hostel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,host_user_tenure_years
1350617154830818436,4459553,1462535697208324352,False,True,True,41.40191,2.17614,2,1.0,2.0,2.0,295.0,1.0,1125.0,311,68,50,255,4.81,243,4.23,True,5.69035945432406,4.23410650459726,3.9318256327243257,1.6544112780768316,1.0986122886681098,1.0986122886681098,0.6931471805599453,5.497168225293202,147.5,295.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,266.8418102833836,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13.416666666666666,False,False,False,True,1.0,True,488.0,14.0,1.7316940339905653,13.5
1350617922177035916,281641688,1469479636457829888,False,True,True,41.3793,2.17701,1,2.0,1.0,1.0,37.35,31.0,999.0,325,0,0,0,,11,0.0,True,3.646754527813265,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,2.4849066497880004,37.35,1.2048387096774194,False,False,True,False,True,False,False,False,False,False,False,False,False,False,222.89796522457144,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.75,False,False,True,False,0.0,False,,,1.1417219300646553,6.833333333333333
1350628056266263295,281641688,1469479636457829888,False,True,True,41.37772,2.17732,1,2.0,1.0,1.0,47.67,31.0,999.0,365,5,4,248,4.2,11,0.34,True,3.885062823845363,1.791759469228055,1.6094379124341003,0.29266961396282004,0.6931471805599453,0.6931471805599453,1.0986122886681098,2.4849066497880004,47.67,1.537741935483871,False,False,True,False,True,False,False,False,False,False,False,False,False,False,222.89796522457144,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.75,False,False,True,False,0.0,True,447.0,31.0,1.2991718989390706,6.833333333333333
1350811755017970887,396363,1462517371974690816,False,True,True,41.394954005877224,2.164837792893531,5,2.0,3.0,4.0,394.5,2.0,1125.0,350,17,9,54,4.53,42,1.05,True,5.980150787207709,2.8903717578961645,2.302585092994046,0.7178397931503169,1.3862943611198906,1.6094379124341003,1.0986122886681098,3.7612001156935624,78.9,197.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.25,False,False,True,False,1.0,True,493.0,13.0,0.8966839430468718,15.333333333333334
1350877159785922767,1432835,1462545663970899968,True,True,True,41.37625712586915,2.160552450855845,3,2.0,2.0,2.0,262.5,3.0,365.0,166,48,36,216,4.88,43,2.99,True,5.574053367981417,3.8918202981106265,3.6109179126442243,1.3837912309017721,1.0986122886681098,1.0986122886681098,1.0986122886681098,3.784189633918261,87.5,87.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,312.32427720988665,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.583333333333334,False,False,True,False,1.0,True,487.0,30.0,1.4092570788843972,14.583333333333334
1351310641282846749,674322323,1470688624614764288,False,True,True,41.41055,2.17894,1,2.0,1.0,1.0,44.84,31.0,331.0,116,0,0,0,,21,0.0,False,3.8251570724064843,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,3.091042453358316,44.84,1.4464516129032259,False,False,True,False,False,False,False,False,False,False,False,True,False,False,210.15906307651218,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.3333333333333333,False,False,True,False,0.0,False,,,2.714801381961972,1.4166666666666667
1351318869823441796,674322323,1470688624614764288,False,True,True,41.410529653339054,2.180337030003098,1,2.0,1.0,1.0,35.78,32.0,331.0,130,0,0,0,,21,0.0,False,3.604954219176175,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,3.091042453358316,35.78,1.118125,False,False,True,False,False,False,False,False,False,False,False,True,False,False,210.15906307651218,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.3333333333333333,False,False,True,False,0.0,False,,,2.7519229934116156,1.4166666666666667
1351338267582538919,281641688,1469479636457829888,False,True,True,41.37976,2.17845,1,2.0,1.0,1.0,30.51,31.0,999.0,236,1,1,62,4.0,11,0.23,True,3.4503049557691834,0.6931471805599453,0.6931471805599453,0.20701416938432612,0.6931471805599453,0.6931471805599453,1.0986122886681098,2.4849066497880004,30.51,0.9841935483870968,False,False,True,False,True,False,False,False,False,False,False,False,False,False,222.89796522457144,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.75,False,False,True,False,0.0,True,136.0,136.0,1.1819581680943672,6.833333333333333
1351355607051715232,459692907,1470069901752104448,False,True,False,41.39986633258274,2.207566196958908,4,2.0,2.0,3.0,105.86,32.0,273.0,99,0,0,0,,19,0.0,True,4.671519566529625,0.0,0.0,0.0,1.0986122886681098,1.3862943611198906,1.0986122886681098,2.995732273553991,26.465,3.308125,True,False,False,False,False,False,False,False,False,False,False,True,False,False,206.6348677909365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.3333333333333335,False,False,True,False,1.0,False,,,3.5336723073193888,4.083333333333333
1351365258936874266,459692907,1470069901752104448,False,True,False,41.399882428251246,2.207566196958908,4,2.0,2.0,2.0,134.24,32.0,273.0,173,0,0,0,,19,0.0,True,4.907050977839686,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,2.995732273553991,33.56,4.195,True,False,False,False,False,False,False,False,False,False,False,True,False,False,206.6348677909365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.3333333333333335,False,False,True,False,1.0,False,,,3.5343744083550375,4.083333333333333
1351377192985437452,459692907,1470069901752104448,False,True,False,41.39987438041747,2.207555468122848,4,2.0,2.0,3.0,131.42,32.0,275.0,63,0,0,0,,19,0.0,True,4.8859786894967,0.0,0.0,0.0,1.0986122886681098,1.3862943611198906,1.0986122886681098,2.995732273553991,32.855,4.106875,True,False,False,False,False,False,False,False,False,False,False,True,False,False,206.6348677909365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.3333333333333335,False,False,True,False,1.0,False,,,3.5332001325861815,4.083333333333333
1351409407655293126,459692907,1470069901752104448,False,True,False,41.399882428251246,2.2075501037048184,2,1.0,1.0,2.0,103.26,32.0,273.0,211,2,2,128,4.5,19,0.18,True,4.64688777933996,1.0986122886681098,1.0986122886681098,0.16551443847757338,0.6931471805599453,1.0986122886681098,0.6931471805599453,2.995732273553991,51.63,3.226875,True,False,False,False,False,False,False,False,False,False,False,True,False,False,206.6348677909365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.3333333333333335,False,False,True,False,1.0,True,340.0,262.0,3.533139850207179,4.083333333333333
1351450045402368913,4064440,1462533387977606400,True,True,True,41.3842871,2.149272,3,1.0,2.0,3.0,264.0,1.0,1125.0,186,83,70,255,4.72,22,5.23,True,5.579729825986222,4.430816798843313,4.2626798770413155,1.8293763327993617,1.0986122886681098,1.3862943611198906,0.6931471805599453,3.1354942159291497,88.0,264.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,328.39122847313126,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13.583333333333334,False,False,True,False,1.0,True,483.0,26.0,1.6492047326184487,13.583333333333334
1352395513790127126,19132175,1463070326184346624,True,True,True,41.40006,2.18942,3,1.0,2.0,3.0,233.94,2.0,30.0,124,59,42,252,4.83,1,3.95,True,5.45933016239574,4.0943445622221,3.7612001156935624,1.599387576580599,1.0986122886681098,1.3862943611198906,0.6931471805599453,0.6931471805599453,77.98,116.97,True,False,False,False,False,False,False,False,False,False,False,True,False,False,248.61254129710414,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,True,False,False,False,1.0,True,455.0,18.0,2.2356074065749425,11.833333333333334
1353456079908982208,38678143,1465578288464393472,False,True,True,41.3840188,2.162542,1,1.0,1.0,3.0,28.85,32.0,333.0,136,0,0,0,,1,0.0,True,3.396184839838611,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453,28.85,0.9015625,True,False,False,False,False,True,False,False,False,False,False,False,False,False,312.32427720988665,False,False,False,True,False,False,False,False,False,False,False,False,False,False,10.75,True,False,False,False,1.0,False,,,0.6299082322026791,10.916666666666666
1353457610399356090,675151780,1470690312586866688,False,True,True,41.411624253289986,2.174274243668541,2,1.0,1.0,1.0,120.0,1.0,365.0,82,1,1,6,4.0,2,0.09,True,4.795790545596741,0.6931471805599453,0.6931471805599453,0.08617769624105233,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,60.0,120.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,172.2719073700474,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.3333333333333333,False,True,False,False,0.0,True,331.0,331.0,2.7348774093010495,1.3333333333333333
1353472971419672576,675078827,1470690175114145024,False,False,True,41.399631,2.2071728,4,2.0,2.0,3.0,139.19,32.0,330.0,303,4,4,255,5.0,12,0.33,True,4.942998645380444,1.6094379124341003,1.6094379124341003,0.2851789422336624,1.0986122886681098,1.3862943611198906,1.0986122886681098,2.5649493574615367,34.7975,4.3496875,True,False,False,False,False,False,False,False,False,False,False,True,False,False,206.6348677909365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,False,False,True,False,1.0,True,366.0,9.0,3.4932449521845266,1.4166666666666667
1353482403867438910,675078827,1470690175114145024,False,False,True,41.399631,2.2071728,4,2.0,2.0,3.0,142.34,32.0,330.0,306,1,1,64,5.0,12,0.08,True,4.9652194305657735,0.6931471805599453,0.6931471805599453,0.07696104113612832,1.0986122886681098,1.3862943611198906,1.0986122886681098,2.5649493574615367,35.585,4.448125,True,False,False,False,False,False,False,False,False,False,False,True,False,False,206.6348677909365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,False,False,True,False,1.0,True,370.0,370.0,3.4932449521845266,1.4166666666666667
1353497379617979967,675078827,1470690175114145024,False,False,True,41.399631,2.2071728,2,1.0,1.0,1.0,112.53,32.0,330.0,329,1,1,64,5.0,12,0.09,True,4.732067119176442,0.6931471805599453,0.6931471805599453,0.08617769624105233,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.5649493574615367,56.265,3.5165625,True,False,False,False,False,False,False,False,False,False,False,True,False,False,206.6348677909365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,False,False,True,False,1.0,True,345.0,345.0,3.4932449521845266,1.4166666666666667
