id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Ciutat Vella,district_Eixample,district_Gràcia,district_Horta-Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in hostel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,host_user_tenure_years
903619724350445213,7492467,1462733390350769664,False,True,True,41.3940289,2.1772596,2,1.0,1.0,1.0,125.67,3.0,25.0,86,40,17,102,4.5,5,1.11,True,4.841585279495541,3.713572066704308,2.8903717578961645,0.7466879474879752,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.791759469228055,62.835,41.89,False,False,True,False,False,True,False,False,False,False,False,False,False,False,250.77951196511597,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.916666666666666,False,True,False,False,0.0,True,1089.0,182.0,1.0320662067600854,12.916666666666666
1227281610803448523,1432835,1462545663970899968,True,True,True,41.3790562,2.160209,6,2.0,3.0,5.0,411.0,1.0,365.0,119,79,43,255,4.94,43,3.61,True,6.021023349349527,4.382026634673881,3.784189633918261,1.5282278570085572,1.3862943611198906,1.791759469228055,1.0986122886681098,3.784189633918261,68.5,411.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,312.32427720988665,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.583333333333334,False,False,True,False,1.0,True,662.0,27.0,1.1622725022165432,14.583333333333334
15608461,299462,1462511038360807168,False,True,True,41.379638671875,2.1773109436035156,4,1.0,2.0,3.0,276.29,1.0,1125.0,332,252,21,126,4.31,140,2.16,True,5.625063889944796,5.53338948872752,3.091042453358316,1.1505720275988207,1.0986122886681098,1.3862943611198906,0.6931471805599453,4.948759890378168,69.0725,276.29,True,False,False,False,True,False,False,False,False,False,False,False,False,False,222.89796522457144,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13.583333333333334,False,False,False,True,1.0,True,3503.0,9.0,1.1282604252159023,15.5
588324037919187827,346367515,1463496073140840192,False,True,True,41.4018,2.16112,2,0.0,1.0,1.0,129.64,31.0,125.0,292,3,2,124,4.67,588,0.18,True,4.8724454486622095,1.3862943611198906,1.0986122886681098,0.1655144384775733,0.6931471805599453,0.6931471805599453,0.0,6.3784261836515865,64.82,4.1819354838709675,True,False,False,False,False,False,True,False,False,False,False,False,False,False,207.4881488803305,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.083333333333333,False,False,False,True,1.0,True,494.0,179.0,1.7184802798331942,6.083333333333333
1297250957737849432,95390769,1467149570291495936,False,True,True,41.410590813548154,2.1781960151873414,1,1.0,1.0,1.0,103.0,2.0,30.0,59,14,14,84,5.0,1,6.27,False,4.6443908991413725,2.70805020110221,2.70805020110221,1.983756291545428,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,103.0,51.5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,210.15906307651215,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1666666666666666,True,False,False,False,0.0,True,73.0,11.0,2.700063197493739,9.75
1228812933215136247,461238573,1470077360147515904,True,True,True,41.37707,2.14952,5,2.0,3.0,3.0,342.5,2.0,31.0,64,115,59,255,4.85,2,5.49,True,5.839187111662404,4.7535901911063645,4.0943445622221,1.8702625307159984,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,68.5,171.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,328.39122847313126,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.75,False,True,False,False,1.0,True,634.0,14.0,1.9630160825763168,4.0
52719337,281663581,1463375882509023488,True,True,True,41.38013,2.1905,2,1.0,1.0,1.0,126.47,15.0,300.0,59,20,5,150,4.95,4,0.37,True,4.84788104279483,3.044522437723423,1.791759469228055,0.3148107398400335,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.6094379124341005,63.235,8.431333333333333,True,False,False,False,True,False,False,False,False,False,False,False,False,False,142.8286473315376,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.833333333333333,False,True,False,False,0.75,True,1641.0,29.0,1.997948067113178,6.833333333333333
1132389288132778403,396363,1462517371974690816,False,True,True,41.37758799568364,2.152770293557302,6,2.0,3.0,3.0,229.0,1.0,1125.0,363,0,0,0,,42,0.0,True,5.438079308923196,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.0986122886681098,3.7612001156935624,38.166666666666664,229.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,312.32427720988665,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.25,False,False,True,False,1.0,False,,,1.7130666044042329,15.333333333333334
1477763961932772836,39789054,1465593939115278848,False,True,True,41.42249,2.19936,2,1.0,1.0,1.0,33.44,31.0,1125.0,356,0,0,0,,51,0.0,False,3.53921867955953,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,3.951243718581427,16.72,1.0787096774193548,False,False,True,False,False,False,False,False,False,False,False,True,False,False,136.5689285492444,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10.833333333333334,False,False,False,True,0.2156862745098039,False,,,4.669670058783907,10.833333333333334
51158609,22076771,1463171017853817088,True,True,True,41.3875,2.14561,6,2.0,3.0,4.0,109.48,31.0,1125.0,241,24,5,255,4.88,20,0.41,True,4.704834509101037,3.218875824868201,1.791759469228055,0.3435897043900769,1.3862943611198906,1.6094379124341005,1.0986122886681098,3.044522437723423,18.246666666666663,3.5316129032258066,True,False,False,False,False,True,False,False,False,False,False,False,False,False,328.39122847313126,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11.666666666666666,False,False,True,False,1.0,True,1765.0,107.0,1.9179649374149832,11.666666666666666
29350078,220900537,1469166791317227776,True,True,True,41.38353,2.18109,2,1.0,1.0,1.0,54.38,32.0,1125.0,192,30,5,255,4.93,2,0.33,True,4.014218517742816,3.4339872044851463,1.791759469228055,0.2851789422336624,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,27.19,1.699375,True,False,False,False,True,False,False,False,False,False,False,False,False,False,233.13189128386705,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.666666666666667,False,True,False,False,1.0,True,2756.0,50.0,1.127366364876412,7.666666666666667
39376301,36607755,1465545217963347968,False,True,True,41.40427,2.15115,2,2.5,1.0,1.0,38.38,32.0,365.0,365,0,0,0,,136,0.0,False,3.673258073210979,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.252762968495368,4.919980925828125,19.19,1.199375,False,False,True,False,False,False,True,False,False,False,False,False,False,False,207.4881488803305,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11.0,False,False,False,True,0.0,False,,,2.3743495341172043,11.0
