id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Guipúzcoa,district_Vizcaya,district_Álava,neighbourhood_price_encoded,property_type_Entire chalet,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire villa,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in cottage,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,has_sea_view,n_amenities,host_user_tenure_years
43619484,339626516,1469662866641292544,False,True,True,43.33845,-1.8166,2,1.0,1.0,1.0,180.0,1.0,1125.0,257,6,0,0,4.83,4,0.08,True,5.198497031265826,1.9459101490553132,0.0,0.0769610411361283,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.6094379124341005,90.0,180.0,False,False,True,False,True,False,False,216.12724759745166,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.083333333333333,False,True,False,False,0.0,True,2161.0,1763.0,13.501189607337338,3,False,False,False,False,50,6.333333333333333
1323989246304464317,4860687,1462537615575084544,False,True,True,43.26600854851837,-2.9337934466530857,2,1.0,1.0,2.0,175.0,2.0,730.0,50,3,3,18,5.0,4,1.27,True,5.170483995038151,1.3862943611198906,1.3862943611198906,0.8197798314933114,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.6094379124341005,87.5,87.5,False,False,True,False,False,True,False,211.78242676636643,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,13.333333333333334,False,True,False,False,0.75,True,72.0,46.0,0.3485090644616495,27,True,False,True,False,33,13.416666666666666
36699267,225773064,1469200142042979072,False,True,True,43.31787,-1.9751,4,2.0,3.0,4.0,330.8,5.0,1125.0,15,13,1,10,4.92,1,0.16,True,5.8045323777563445,2.6390573296152584,0.6931471805599453,0.1484200051182732,1.3862943611198906,1.6094379124341005,1.0986122886681098,0.6931471805599453,82.7,66.16,True,False,False,False,True,False,False,384.9671906787846,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6.75,True,False,False,False,1.0,True,2447.0,320.0,0.4958043308059433,19,False,False,True,False,39,7.583333333333333
688063738675819100,473730979,1470136299159083264,False,True,True,43.419416,-2.7258488,2,1.0,1.0,1.0,129.0,1.0,1125.0,205,61,14,84,4.72,1,1.29,True,4.867534450455582,4.127134385045092,2.70805020110221,0.8285518175661483,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,64.5,129.0,True,False,False,False,False,True,False,186.77563421516754,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3.8333333333333335,True,False,False,False,1.0,True,1417.0,25.0,24.260827167067816,19,False,False,False,False,33,3.8333333333333335
4330756,22195144,1463173914027970560,True,True,True,43.40611,-2.91886,2,1.0,1.0,1.0,182.33,3.0,1125.0,222,116,8,48,4.97,3,0.87,True,5.211287807574934,4.762173934797756,2.1972245773362196,0.6259384308664953,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,91.165,60.77666666666667,False,False,True,False,False,True,False,229.91443235071807,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11.666666666666666,False,True,False,False,0.6666666666666666,True,4008.0,253.0,15.966557476241093,0,False,True,False,True,38,11.666666666666666
23749734,76289581,1466935893718339328,True,True,True,43.29251,-1.97563,8,4.5,4.0,6.0,685.0,2.0,1125.0,216,118,17,102,4.83,5,1.17,True,6.530877627725885,4.77912349311153,2.8903717578961645,0.7747271675523681,1.6094379124341005,1.9459101490553132,1.7047480922384253,1.791759469228055,85.625,342.5,True,False,False,False,True,False,False,384.9671906787846,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.916666666666666,False,True,False,False,0.2,True,3014.0,11.0,2.9029194508575076,0,False,False,True,False,37,10.0
52509752,28182371,1462643656194030848,True,True,True,42.84665,-2.66158,4,1.0,2.0,2.0,117.0,1.0,31.0,56,44,14,84,4.86,2,0.76,True,4.770684624465665,3.80666248977032,2.70805020110221,0.5653138090500605,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,29.25,117.0,True,False,False,False,False,False,True,161.54593620341822,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,11.083333333333334,False,True,False,False,1.0,True,1726.0,14.0,0.8169040842007641,1,False,False,True,False,41,11.333333333333334
588891384003874397,354981059,1469709203018333952,True,True,True,43.27956,-2.9639,4,2.0,2.0,3.0,231.34,2.0,15.0,152,96,32,192,4.97,1,1.86,True,5.448201816085329,4.574710978503383,3.49650756146648,1.0508216248317612,1.0986122886681098,1.3862943611198906,1.0986122886681098,0.6931471805599453,57.835,115.67,True,False,False,False,False,True,False,211.78242676636643,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.916666666666667,True,False,False,False,1.0,True,1547.0,11.0,2.9774985262190703,2,False,False,True,False,57,5.916666666666667
1504408301840853772,717562291,1504408302690800384,False,True,True,43.2555868,-2.9300171,2,1.0,1.0,1.0,93.0,1.0,365.0,356,4,4,24,4.5,2,0.45,True,4.543294782270004,1.6094379124341005,1.6094379124341005,0.371563556432483,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,46.5,93.0,False,False,True,False,False,True,False,211.78242676636643,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.75,False,True,False,False,0.0,True,265.0,61.0,0.9177728859342482,19,False,False,False,False,12,0.75
855698249638141972,463687853,1470089458684320256,True,True,True,43.36399,-1.79201,3,1.0,1.0,2.0,160.0,2.0,1125.0,101,73,22,132,4.92,2,1.86,True,5.081404364984463,4.30406509320417,3.1354942159291497,1.0508216248317612,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,53.333333333333336,80.0,True,False,False,False,True,False,False,290.70417552545996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,True,False,False,1.0,True,1180.0,13.0,16.121234105653937,17,False,False,True,False,29,4.0
